Key;English;
french_canadian;Acadian;
QUE_1;Upper Quebec;
QUE_2;Lower Quebec;
QUE_3;Nova Scotia;
QUE_4;Prince Edward Island;
FRA_401;Picardie;
FRA_399;Nord-Est;
FRA_403;Champagne;
UCA_2190;Belize;
ENG_76;Labrador;
RUS_1103;North Azerbaijan;
AFG_1217;West Pashtunistan;
AFG_1214;Kandahar;
PRU_682;Nord Schlesien;
PRU_684;Sud Schlesian;
RUS_354;Livonia;
RUS_357;Courland;
RUS_354;Livonia;
RUS_357;Courland;
TUR_802;Kosovo;
YUC_reactionary;Yucatan Protection Party;
YUC_conservative;Yucatan Conservative Party;
YUC_liberal;Yucatan Liberal Party;
YUC_socialist;Yucatan Socialist Party;
YUC_fascist;Yucatan Fascist Party;
YUC;Yucatan;
YUC_ADJ;Yucatecan;
CAU;North Caucasia;
CAU_ADJ;North Caucasian;
TCA;Transcaucasia;
TCA_ADJ;Transcaucasian;
CIR;Circassia;
CIR_ADJ;Circassian;
CIR_reactionary;Circassian Tribal Party;
CIR_conservative;Circassian Conservative Party;
CIR_liberal;Circassia Federal Party;
CIR_socialist;Circassian Socialist Party;
CIR_fascist;Circassian Fascist Party;
KON;Kongo;
KON_ADJ;Kongoese;
KON_reactionary;Henrique Faction;
KON_reactionary_1;Factionalists;
KON_conservative;Conservative Faction;
KON_liberal;Commerce Faction;
KON_socialist;Kongoese Socialist Party;
KON_fascist;Kongoese Fascist Party;
YUC_event_2;The Yucatan Republic has requested our intervention in the Yucatan Peninsula to help them defend them, resulting in the Yucatan being annexed by the US as a state. With congress being dominated by Republicans or Moderate Democrats this should be an easy bill to pass.;
YUC_event_1;The Yucatan Republic has declared independence from Mexico and has requested that we recognize it as a state and remove any sanctions we have on them.;
YUC_MEX1;Disgruntled Mayans and regular Mexicans in the Yucatan have declared independence and established the Yucatan Republic.;
engevent1;The United States has taken it upon themselves, with the leverage of their new state in the Yucatan and a sizable army, to demand that we withdraw from Belize as an end to one section of colonial rule in the Americas, saying no could be a fatal endeavor.;
newfoundlandlibre;Newfoundland had been under British rule since 1583, having been a colony with no rights for over 250 years, the local inhabitants are largely Scottish and Irish with other immigrants and have met our liberation of their home with resounding applause.; 
expel_britain_from_belize_title;Expel the British from Belize;
expel_britain_from_belize_desc;Belize remains one of the only remaining examples of European Colonialism on the continent, if we truly want the end of European Colonialism on the American continent we must expel the British from Belize.;
texas_black_gold;Texan Black Gold;
rise_of_california;Rise of California;
pennsylvania_dutch;Pennsylvania Dutch;
liberate_newfoundland_title;Liberate Newfoundland;
liberate_newfoundland_desc;When Canada was liberated decades ago many figures in the country had been content with our gains in the North, however since then we have become stronger than even the people just 30 years ago could imagine. Perhaps it would be prudent to fully liberate North American from British Rule once and for all.;
engevent2;Since Canada was conquered by the American Rebels decades ago the evil rebels had their eyes on our last holdings in America, intent on seizing all of them. It appears they have finally acted on those ambitions as the Royal Newfoundland Border Guard has reported an incursion of American troops into the dense forests of Labrador.;
rail_focus;Colonial Policy;
colonial_immigration;Encourage Colonial Migration;
encourage_agriculture;Encourage Agriculture;
encourage_mining;Encourage Mining;
encourage_business;Encourage Business;
militancy_appeasement;Colonial Appeasement;
consciousness_appeasement;Colonial Propaganda;
support_families;Support Families;
support_local_industry;Support Local Industry;
assimilate;Assimilate;
development_focus;Development;
suppress_revolution;Suppress Revolution;
displace_population;Displace Population;
treaty_port_casus_belli;Punitive Expedition;
treaty_port_casus_belli_desc;Force a 即country劬 to negotiate an 即unequal treaty劬, which includes a 即treaty port劬 if there's one available.;
treaty_port_casus_belli_short;Negotiate an unequal treaty;
treaty_port_casus_belli_setup;Force a 即country劬 to negotiate an 即unequal treaty劬, which includes a 即treaty port劬 if there's one available;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;$ORDER$Opium War;
renounce_northern_epirus_title;Renounce our claim on Northern Epirus;
renounce_northern_epirus_desc;Northern Epirus, once a solidly Greek area has slowly fallen from our grasp to become what it is today, it is no longer Greek and as such perhaps it would be better to allow the Albanians to have it to improve our international standing and relations with Albania.;
social_mobility;Social Mobility;
entrenched_nobility;Entrenched Nobility;
entrenched_nobility_desc;The Nobility is heavily entrenched and a caste system is in place where very limited nobility is allowed.;
limited_mobility;Limited Mobility;
limited_mobility_desc;It takes a great deal for people to move from the class they were born in and certain families have entrenched rights.;
full_mobility;Full Mobility;
full_mobility_desc;All people are allowed to move between classes freely and no family rights are entrenched by government.;
chechen;Chechen;
dagestani;Dagestani;
circassian;Circassian;
baltic_german;Baltic German;
cypriot;Cypriot;
griko;Griko;
hellenic;Hellenic;
cuban;Cuban;
swiss_german;Swiss German;
scottish;Scottish;
breton;Breton;
sardinian;Sardinian;
jewish;Jewish;
yemeni;Yemeni;
saarlander;Saarlander;
mandinka;Mandinka;
sorbian;Sorbian;
alsatian;Alsatian;
welsh;Welsh;
PROV28;Pocanth City;
PROV138;Carrizo Springs;
PROV206;Columbia;
PROV349;Tallinn;
PROV1037;Kosakenstadt;
PROV2139;San Felipe;
PROV2181;Palenque;
PROV2153;Mezquital;
PROV2154;Mapimi;
PROV2160;Arandas;
PROV2163;Altamira;
PROV2166;Zamora de Hidalgo;
PROV2169;Maquili;
PROV2172;DF;
PROV3249;Montroaux;
PROV3250;Kladsko;
PROV3251;Novy Targ;
PROV3252;Artsakh;
PROV3253;Wiek;
PROV3254;Belluno; 
PROV3255;San Christopher;
PROV3256;Saguenay;
PROV3257;Nimruz;
PROV3258;Ansbach;
PROV3259;Laredo;
PROV3260;Escarcega;
PROV3261;Cancun;
PROV3262;Coatzacoalcos;
PROV3263;Bocabarra;
PROV3264;Tuxtla Gutierrez;
PROV3265;Orange Walk;
PROV3266;Nazas;
PROV3267;Tamazula de Victoria;
PROV3268;Victoria de Durango;
PROV3269;Santa Maria del Oro;
PROV3270;Guasave;
PROV3271;Mazapil;
PROV3272;Sombrerete;
PROV3273;Ojocaliente;
PROV3274;Matehuala;
PROV3275;Jaumavel;
PROV3276;Ciudad Valles;
PROV3277;Tampico;
PROV3278;Aguascalientes;
PROV3279;Colima;
PROV3280;Cuatrocienagas;
PROV3281;Piedritas;
PROV3282;Tijuana;
PROV3283;Rosarito;
PROV3284;La Paz;
PROV3285;Tlaxcala;
PROV3286;Ciudad Obregon;
establish_caucasus_viceroyalty_title;Establish Caucasus Viceroyalty;
establish_caucasus_viceroyalty_desc;For years Caucasia has had autonomy under Russian rule. It shall not remain this way any longer, they are a vital part of Russia;
two_land_of_the_free;Land of the Free;
SUD_reactionary;Sudeten Party;
SUD_conservative;Christian Democratic Party;
SUD_liberal;Reich Liberal Party;
SUD_socialist;Sudeten Socialist Party;
SUD_fascist;National Socialist Sudeten German Worker's Party;
SUD;Sudetenland;
SUD_ADJ;Sudeten;
SIB_reactionary;Transylvanian Guard;
SIB_conservative;Moderat Party;
SIB_liberal;Demokratisch Saxon Party;
SIB_socialist;Socialist Party of Transylvania;
SIB_fascist;National Socialist Transylvanian German Worker's Party;
SIB;Siebenburgen;
SIB_ADJ;Siebenburger;
SIE;Szeklerland;
SIE_ADK;Erdelyi;
TAN_reactionary;Iron Guard;
TAN_conservative;Moderate Party;
TAN_liberal;Transylvanian Liberal Coalition;
TAN_socialist;Party of Transylvanian Socialist;
TAN_fascist;Iron_Guard;
TAN;Transylvania;
TAN_ADJ;Transylvanian;
czh_accept_polish_identity_title;Accept Polish Identity;
czh_accept_polish_identity_desc;With our recent acquisition of Polish Majority lands many of our brethren have pointed towards our common Slavic identity and common cultural features as evidence of why we should welcome Poles as our cultural brethren. It is time to listen to them and welcome the Poles with open arms.;
zap_integrate_ukrainians_title;Accept Ukrainian Identity;
zap_integrate_ukrainians_desc;When the Prague slavic council, the basis of the Zapodoslav idea, was held during the 1848 revolutions, Ukraine and it's Poles and Ruthenians both participated in large numbers, having the most delegates of any cultural group. It is time that we recognize their contributions to West Slavic independence from Austria by welcoming them as our own West Slavs.;
decrease_tension;Decrease Tension;
liberation_of_daruvar_title;Liberation of Daruvar;
liberation_of_daruvar_desc;For years our Czech brethren residing in Croatia have been opressed. With our recent acquisition of the lands they live in they shall be oppressed no more. With our liberation of Daruvar even the farthest away Czech lands have been liberated under Czechoslovakia.;
nv_libertarian;Libertarian;
nv_productivity;Productivity;
1848_AUS;Following a drift away from the ideals of the enlightenment in Austria over the past 35 years tensions have slowly been growing among the various nationalities in Austria.;
1848_AUS2;War has come to Austria after the secession of the outer parts of the empire and Hungary itself!;
renovate_athens_title;Renovate Athens; 
renovate_athens_desc;Athens is in dire need of some degree of government help. We must invest the neccesary funds into the city to help it.; 
urban;City;
zapodoslavia_title;Form Zapodoslavia;
zapodoslavia_desc;Our common West Slavic identity, Historical ties, modern cooperation, and a stronger West Slavic state are all strong arguments among many for a union between the west Slavic Poles, Czechs, and Slovaks into a single state named Zapodoslavia. Now that we have achieved sufficient dominance in the areas inhabited by West Slavs we may now enact the idea of a united Zapodoslavia.;
zapodoslaviaboh_title;Form Zapodoslavia;
zapodoslaviaboh_desc;Our common West Slavic identity, Historical ties, modern cooperation, and a stronger West Slavic state are all strong arguments among many for a union between the west Slavic Poles, Czechs, and Slovaks into a single state named Zapodoslavia. Now that we have achieved sufficient dominance in the areas inhabited by West Slavs we may now enact the idea of a united Zapodoslavia.;
ZAP_reactionary;Zapodoslav National Union;
ZAP_conservative;West Slavic Christian Party;
ZAP_liberal;Zapodoslav Union Party;
ZAP_socialist;Socialist West Slavic Party;
ZAP_fascist;Zapodoslavian Fascist Party;
ZAP;Zapodoslavia;
ZAP_ADJ;Zapodoslav;
TYR_reactionary;Old Guard;
TYR_conservative;Tyroler Union Party;
TYR_liberal;Tyroler Liberal Party;
TYR_socialist;Socialist Tyrol Party;
TYR_fascist;Tyrol Fascista Party;
TYR;South Tyrol;
TYR_ADJ;Tyroler;
city_of_liberty;City of Liberty;
EVTOPTB19300;It is only natural Philadelphia gets it.;
EVTOPTC19300;Toronto has earned the statue of Liberty.;
RIO_reactionary;Rio Grande Party;
RIO_conservative;Catholic Party;
RIO_liberal;Republican Party;
RIO_socialist;United Socialist Party;
RIO_fascist;Grandese Fascista Party;
RIO;Rio Grande;
RIO_ADJ;Rio Grandese;
TXS;Texan Settlers;
TXS_ADJ;Texan Settlers;
TEX1;Settlers from Texas and the wider USA have flocked to the lands of our country. These Texans provide a boon to our greater economy and local economy alike, but also cause cultural issues.;
TEX3;More people from our allies, the Americans, have come from the East to our great country to live and participate in our society.;
block_texans_title;Block the Texans;
block_texans_desc;The troublesome American settlers have caused cultural conflict with the native Mexicans in our country. We must stop the settlers from coming to our country.;
cal_event_1;A combination of factors including open, free land, coastal access, freshwater and gold supply, and other geographical features have led to a population boom in the state of California.;
southern_manifest_destiny_title;Southern Manifest Destiny;
southern_manifest_destiny_desc;For decades since we acquired the Louisiana territory Americans have been calling for Southern Expansion, particularly that in Mexico. Now that we have sufficient resources and a greater international standing we must act on these plans for the future of the nation.;
switzerland_expansionism_ita_title;Swiss Italian Irredentia;
switzerland_expansionism_ita_desc;Switzerland's common culture and geographic features with Northern Italy have made the more ambitious Swiss citizens eager to take the most northern of Italian territories.;
switzerland_expansionism_aus_title;Swiss Austrian Irredentia;
switzerland_expansionism_aus_desc;Switzerland's common culture and geographic features with West Austria have made the more ambitious Swiss citizens eager to take the western Austrian territories.;
switzerland_expansionism_sgf_title;Swiss South German Irredentia;
switzerland_expansionism_sgf_desc;Switzerland's common culture and geographic features with South Germany have made the more ambitious Swiss citizens eager to take the most southern of German territories.;
switzerland_expansionism_fra_title;Swiss French Irredentia;
switzerland_expansionism_fra_desc;Switzerland's common culture and geographic features with Southeastern France have made the more ambitious Swiss citizens eager to take the mountainous Southeast Part of France.;
reclaim_greatness_title;Greater Texas;
reclaim_greatness_desc;Texas will gain the boundaries stipulated in previous treaties from the US in exchange for an alteration of borders in the east.;
czechoslovakia1;Many Bohemians and Slovaks have been calling for a union between Czech and Slovaks with the consent of both govermnents, forming into a union state called Czechoslovakia, shall we consent and hope our counterparts do the same?;
strong_police;Strong Police;
gifted;Gifted;
moral_crusader;Moral Crusader;
shy;Shy;
ARW_NAME;American Revolutionary War;
ARW_DESC;Tensions in North America have reached a boiling point as Delaware declared independence against the British crown, soon the Fourteen Colonies will form a confederation of states, the USA.;
fabric_factory_wool;Wool Fabric Factory;
UBD_adj;Baltic German;
take_capital;Take Capital State;
take_capital_short;Take Capital;
demand_concession_capital;Demand Capital Concession;
demand_concession_capital_short;Capital Concession;
demand_concession_capital_BC_casus_belli_desc;Force an 即uncivilized country劬 to secede territory to form a colonial concession.;Obligez un 即pays non civilis擏W ?faire s嶰ession d'un territoire pour former une concession coloniale.;Zwingen Sie ein 即unzivilisiertes Land劬, Gebiete zur Grdung einer Kolonialkonzession abzuspalten.;;;;;;;;;;;
demand_concession_capital_BC_casus_belli_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;Demandez ?ce que $RECIPIENT$ fasse s嶰ession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Grdung einer Kolonialkonzession abspaltet.;;;;;;;;;;;
demand_concession_capital_BC_casus_belli_short;Demand $STATE$;Demander $STATE$;Fordern Sie $STATE$;;;;;;;;;;;
take_capital_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
take_capital_setup;Acquire $STATE$ from $RECIPIENT$;Prendre $STATE$ de $RECIPIENT$;$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
claim_sudetenland_title;Claim Sudetenland;
claim_sudetenland_desc;The Sudeten Germans have lived in the Sudetenland for centuries, since the days of the Holy Roman Empire. These Germans have been political unrepresented for most of history in their mostly Czech countries. We will liberate all Germans in Europe through careful maneuvering.;
estonian_nords_title;Nordic Estonia;
estonian_nords_desc;The Estonians have previously expressed interest in being included in the overarching Nordic cultural group. Now that we can feasibly fulfill this request whilst owning Estonia we should do so.;
NET_two_nation_solution_title;Two Culture Solution;
NET_two_nation_solution_desc;The Walloon and Dutch cultures have long been at oods over their shared territory. With the acquisition of French territories Walloons comparatively are much closer to our culture and should be accepted into the Dutch part of our country.;
AEG;Aegeus;
AEG_ADJ;Aegean;
MAG;Magna Graecia;
MAG_ADJ;Griko;
KAZ;Kazakhstan;
KAZ_ADJ;Kazakh;
kazakh_cavalry;Kazakh Cavalry;
BRI;Brittany;
BRI_ADJ;Breton;
BRI_reactionary;
BRI_liberal;Strollad Breizh;
TAT;Tatarstan;
TAT_ADJ;Tatar;
PYR;Waldeck Pyrmont;
PYR_ADJ;Waldecker;
wool_clothes_factory;Wool Clothes Factory;
wool_clothes_factory_desc;Wool is turned into clothes here.;
wool_clothing;Wool Clothing;
burma1;Burma Petitions to Repurchase Territories;
burmadesc1;The Government of Burma has requested that we return the British Burmese territories to them for a large sum of money, about a million pounds, that they lost during the Treaty of Yandabo.;
repurchase_former_territories_title;Repurchase Lost Territories;
repurchase_former_territories_desc;We have gained a higher position on the international stage now than ever since the British first arrived in India. With our new position, we must petition for the return of our territories.;
mindon_reform_title;Mindon's Reforms;
mindon_reform_desc;In 1853, King Mindon began a series of reforms to get Burma on closer footing with the Europeans, including centralization, penal reform, trade reform, army reform, and tax reform.;
burma2;Decentralization;
burmadesc2;Until the reforms in the 1850s, Burma would be a heavily decentralized state, which despite the high literacy rate of about half of all males, would hinder future reforms.;
uncentralized_administration;Uncentralized Administration;
sugar;Sugar;
chocolate;Chocolate;
sugar_plantation;Sugar Plantation;
chocolate_factory;Chocolate Factory;
chocolate_factory_desc;Using Sugar and Cocoa, Chocolate is produced and put in wrappers for the population to enjoy.;
cuba_plantations;Cuban Plantations;
cuban_sugar_plantations_title;Cuban Sugar Plantations;
cuban_sugar_plantations_desc;The Cuban island is the idea environment for the growth of valuable sugarcane. With our nation's might be we can turn Cuba into one of the most potent sources of sugar in the world, unlike the Spanish who neglected them.;
dutch_cocoa;Dutch Cocoa;
brazilian_coffee_plantations;Brazilian Coffee Plantations;
mass_chocolate_production;Mass Chocolate Production;
HAS_GOODS;Has Good;
NOT_HAS_GOODS;Doesn't Have Good;
colonize_patagonia_title;Pacify Patagonia;
colonize_patagonia_desc;For many years no civilized government has been capable of pacifying Patagonia due to the terrain and hostile natives. Now with recent breakthroughs we can finally pacify it and subjugate the final uncivilized part of South America.;
PRU_event_1_title;First Accurate Measurement of the Distance to a Star!;
PRU_event_1_desc;Prussian scientist Friedrich Wilhelm Bessel has been the first scientist in all the world to make an accurate measurement of the distance to a star. He is well known and respected among the scientist community and this recent discovery is just another such occasion of his genius.;
integrate_switzerland_title;Integrate Switzerland;
integrate_switzerland_desc;Switzerland has had an independent spirit for much of it's history. Despite their spirit, our cultures are very close among the Germans of Switzerland and integration should not be an issue for the advancement of the German people.;
standardized_timezones;Standardized Timezones;
german_empire;�R German Empire;
hellenic_civilization;�R Hellenic Empire;
grossdeutschland;Greater Germany;
arpitan;Arpitan;
FRA_451;Arpitania;
